"away_score","home_score","away_team","home_team","year","team","game_date"
"18","17","Bears","Chiefs",2015,"bears","10-11-2015"
"34","37","Bears","Lions",2015,"bears","10-18-2015"
"23","20","Vikings","Bears",2015,"bears","11-01-2015"
"22","19","Bears","Chargers",2015,"bears","11-09-2015"
"37","13","Bears","Rams",2015,"bears","11-15-2015"
"17","15","Broncos","Bears",2015,"bears","11-22-2015"
"17","13","Bears","Packers",2015,"bears","11-26-2015"
"26","20","49ers","Bears",2015,"bears","12-06-2015"
"24","21","Redskins","Bears",2015,"bears","12-13-2015"
"17","38","Bears","Vikings",2015,"bears","12-20-2015"
"26","21","Bears","Buccaneers",2015,"bears","12-27-2015"
"24","20","Lions","Bears",2015,"bears","01-03-2015"
"42","14","Titans","Buccaneers",2015,"titans","09-13-2015"
"14","28","Titans","Browns",2015,"titans","09-20-2015"
"35","33","Colts","Titans",2015,"titans","09-27-2015"
"14","13","Bills","Titans",2015,"titans","10-11-2015"
"38","10","Dolphins","Titans",2015,"titans","10-18-2015"
"10","07","Falcons","Titans",2015,"titans","10-25-2015"
"06","20","Titans","Texans",2015,"titans","11-01-2015"
"34","28","Titans","Saints",2015,"titans","11-08-2015"
"27","10","Panthers","Titans",2015,"titans","11-15-2015"
"13","19","Titans","Jaguars",2015,"titans","11-19-2015"
"24","21","Raiders","Titans",2015,"titans","11-29-2015"
"39","42","Jaguars","Titans",2015,"titans","12-06-2015"
"08","30","Titans","Jets",2015,"titans","12-13-2015"
"16","33","Titans","Patriots",2015,"titans","12-20-2015"
"34","06","Texans","Titans",2015,"titans","12-27-2015"
"24","30","Titans","Colts",2015,"titans","01-03-2015"
"14","27","Colts","Bills",2015,"colts","09-13-2015"
"20","07","Jets","Colts",2015,"colts","09-21-2015"
"35","33","Colts","Titans",2015,"colts","09-27-2015"
"13","16","Jaguars","Colts",2015,"colts","10-04-2015"
"27","20","Colts","Texans",2015,"colts","10-08-2015"
"34","27","Patriots","Colts",2015,"colts","10-18-2015"
"27","21","Saints","Colts",2015,"colts","10-25-2015"
"26","29","Colts","Panthers",2015,"colts","11-02-2015"
"24","27","Broncos","Colts",2015,"colts","11-08-2015"
"24","21","Colts","Falcons",2015,"colts","11-22-2015"
"12","25","Buccaneers","Colts",2015,"colts","11-29-2015"
"10","45","Colts","Steelers",2015,"colts","12-06-2015"
"16","51","Colts","Jaguars",2015,"colts","12-13-2015"
"16","10","Texans","Colts",2015,"colts","12-20-2015"
"18","12","Colts","Dolphins",2015,"colts","12-27-2015"
"24","30","Titans","Colts",2015,"colts","01-03-2015"
"13","19","Ravens","Broncos",2015,"broncos","09-13-2015"
"31","24","Broncos","Chiefs",2015,"broncos","09-17-2015"
"24","12","Broncos","Lions",2015,"broncos","09-27-2015"
"20","23","Vikings","Broncos",2015,"broncos","10-04-2015"
"16","10","Broncos","Raiders",2015,"broncos","10-11-2015"
"26","23","Broncos","Browns",2015,"broncos","10-18-2015"
"10","29","Packers","Broncos",2015,"broncos","11-01-2015"
"24","27","Broncos","Colts",2015,"broncos","11-08-2015"
"29","13","Chiefs","Broncos",2015,"broncos","11-15-2015"
"17","15","Broncos","Bears",2015,"broncos","11-22-2015"
"24","30","Patriots","Broncos",2015,"broncos","11-29-2015"
"17","03","Broncos","Chargers",2015,"broncos","12-06-2015"
"15","12","Raiders","Broncos",2015,"broncos","12-13-2015"
"27","34","Broncos","Steelers",2015,"broncos","12-20-2015"
"17","20","Bengals","Broncos",2015,"broncos","12-28-2015"
"20","27","Chargers","Broncos",2015,"broncos","01-03-2015"
"10","29","Browns","Eagles",2016,"eagles","09-11-2016"
"29","14","Eagles","Bears",2016,"eagles","09-19-2016"
"03","34","Steelers","Eagles",2016,"eagles","09-25-2016"
"23","24","Eagles","Lions",2016,"eagles","10-09-2016"
"20","27","Eagles","Redskins",2016,"eagles","10-16-2016"
"10","21","Vikings","Eagles",2016,"eagles","10-23-2016"
"23","29","Eagles","Cowboys",2016,"eagles","10-30-2016"
"23","28","Eagles","Giants",2016,"eagles","11-06-2016"
"15","24","Falcons","Eagles",2016,"eagles","11-13-2016"
"15","26","Eagles","Seahawks",2016,"eagles","11-20-2016"
"27","13","Packers","Eagles",2016,"eagles","11-28-2016"
"14","32","Eagles","Bengals",2016,"eagles","12-04-2016"
"27","22","Redskins","Eagles",2016,"eagles","12-11-2016"
"26","27","Eagles","Ravens",2016,"eagles","12-18-2016"
"19","24","Giants","Eagles",2016,"eagles","12-22-2016"
"13","27","Cowboys","Eagles",2016,"eagles","01-01-2016"
"20","19","Giants","Cowboys",2016,"giants","09-11-2016"
"13","16","Saints","Giants",2016,"giants","09-18-2016"
"29","27","Redskins","Giants",2016,"giants","09-25-2016"
"10","24","Giants","Vikings",2016,"giants","10-03-2016"
"16","23","Giants","Packers",2016,"giants","10-09-2016"
"23","27","Ravens","Giants",2016,"giants","10-16-2016"
